iata_code,name,latitude_deg,longitude_deg,home_link
ZTM,Shamattawa Airport,55.8656005859375,-92.0813980102539,
ZWL,Wollaston Lake Airport,58.1068992614746,-103.171997070313,
BJA,Soummam Airport,36.7120018005,5.06992006302,
ALG,Houari Boumediene Airport,36.6910018920898,3.21540999412537,
DJG,Djanet Inedbirene Airport,24.292801,9.45244,
VVZ,Illizi Takhamalt Airport,26.7234992981,8.62265014648,
QSF,Ain Arnat Airport,36.1781005859,5.32449007034,http://www.egsa-constantine.dz/
TMR,Aguenar – Hadj Bey Akhamok Airport,22.8115005493,5.45107984543,
GJL,Jijel Ferhat Abbas Airport,36.7951011658,5.87361001968,
AAE,Rabah Bitat Airport,36.822201,7.809174,
CZL,Mohamed Boudiaf International Airport,36.2760009765625,6.62038993835449,
TEE,Cheikh Larbi Tébessi Airport,35.4315986633,8.12071990967,
BLJ,Batna Airport,35.7521018982,6.3085899353,
HRM,Hassi R'Mel Airport,32.9304008483887,3.31153988838196,
TIN,Tindouf Airport,27.7003993988,-8.1670999527,
TLM,Zenata – Messali El Hadj Airport,35.0167007446,-1.45000004768,
ORN,Es Senia Airport,35.6239013672,-0.621182978153,
CBH,Béchar Boudghene Ben Ali Lotfi Airport,31.6457004547119,-2.26986002922058,
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,27.8376007080078,-0.186414003372192,
BSK,Biskra Airport,34.7933006287,5.73823022842,
ELG,El Golea Airport,30.5713005065918,2.85959005355835,
GHA,Noumérat - Moufdi Zakaria Airport,32.3841018676758,3.79411005973816,
HME,Oued Irara Airport,31.6730003357,6.14043998718,
INZ,In Salah Airport,27.2509994507,2.51202011108,
TGR,Touggourt Sidi Madhi Airport,33.067798614502,6.0886697769165,
ELU,Guemar Airport,33.5113983154,6.77679014206,
TMX,Timimoun Airport,29.2371006012,0.276033014059,
OGX,Ain el Beida Airport,31.917200088501,5.41277980804443,
IAM,In Aménas Airport,28.0515003204,9.64291000366,
COO,Cadjehoun Airport,6.3572301864624,2.38435006141663,
OUA,Ouagadougou Airport,12.3531999588013,-1.51242005825043,
BOY,Bobo Dioulasso Airport,11.1600999832153,-4.33096981048584,
ACC,Kotoka International Airport,5.60518980026245,-0.166786000132561,
TML,Tamale Airport,9.55718994140625,-0.863214015960693,
KMS,Kumasi Airport,6.71456003189087,-1.59081995487213,
NYI,Sunyani Airport,7.36183023452759,-2.32875990867615,
TKD,Takoradi Airport,4.8960599899292,-1.77476000785828,
ABJ,Port Bouet Airport,5.261390209198,-3.9262900352478,
BYK,Bouaké Airport,7.73880004882813,-5.07366991043091,
ABV,Nnamdi Azikiwe International Airport,9.00679016113281,7.26316976547241,http://www.faannigeria.org/nigeria-airport.php?airport=3
QUO,Akwa Ibom International Airport,4.8725,8.093,http://www.ibomairport.com.ng/
AKR,Akure Airport,7.24673986434937,5.30101013183594,http://www.faannigeria.org/nigeria-airport.php?airport=21
BCU,Sir Abubakar Tafawa Balewa International Airport,10.482833,9.744,
BNI,Benin Airport,6.31697988510132,5.59950017929077,http://www.faannigeria.org/nigeria-airport.php?airport=22
CBQ,Margaret Ekpo International Airport,4.97601985931397,8.34720039367676,http://www.faannigeria.org/nigeria-airport.php?airport=12
ENU,Akanu Ibiam International Airport,6.47426986694336,7.56196022033691,http://www.faannigeria.org/nigeria-airport.php?airport=11
IBA,Ibadan Airport,7.36246013641357,3.97832989692688,http://www.faannigeria.org/nigeria-airport.php?airport=7
ILR,Ilorin International Airport,8.44021034240723,4.49391984939575,http://www.faannigeria.org/nigeria-airport.php?airport=20
QOW,Sam Mbakwe International Airport,5.4270601272583,7.20602989196777,http://www.faannigeria.org/nigeria-airport.php?airport=17
JOS,Yakubu Gowon Airport,9.63982963562012,8.86905002593994,http://www.faannigeria.org/nigeria-airport.php?airport=15
KAD,Kaduna Airport,10.6960000991821,7.32010984420776,http://www.faannigeria.org/nigeria-airport.php?airport=10
KAN,Mallam Aminu International Airport,12.0476,8.52462,http://www.faannigeria.org/nigeria-airport.php?airport=2
MIU,Maiduguri International Airport,11.855299949646,13.0809001922607,http://www.faannigeria.org/nigeria-airport.php?airport=14
MDI,Makurdi Airport,7.70388,8.61394,http://www.faannigeria.org/nigeria-airport.php?airport=23
LOS,Murtala Muhammed International Airport,6.57737016677856,3.32116007804871,http://www.faannigeria.org/nigeria-airport.php?airport=1
PHC,Port Harcourt International Airport,5.01549005508423,6.94959020614624,http://www.faannigeria.org/nigeria-airport.php?airport=4
SKO,Sadiq Abubakar III International Airport,12.9162998199463,5.20719003677368,http://www.faannigeria.org/nigeria-airport.php?airport=13
YOL,Yola Airport,9.25755023956299,12.4303998947144,http://www.faannigeria.org/nigeria-airport.php?airport=16
NIM,Diori Hamani International Airport,13.481499671936,2.18360996246338,
AJY,Mano Dayak International Airport,16.9659996032715,8.00010967254639,
ZND,Zinder Airport,13.7790002822876,8.98375988006592,
TBJ,Tabarka 7 Novembre Airport,36.9799995422363,8.87693977355957,
MIR,Monastir Habib Bourguiba International Airport,35.7580986022949,10.7546997070313,
TUN,Tunis Carthage International Airport,36.851001739502,10.2271995544434,http://www.oaca.nat.tn/english/div_horizontal_tunis_airport_eng.htm
GAF,Gafsa Ksar International Airport,34.4220008850098,8.82250022888184,
GAE,Gabès Matmata International Airport,33.8768997192383,10.1033000946045,
DJE,Djerba Zarzis International Airport,33.875,10.7755002975464,
SFA,Sfax Thyna International Airport,34.7179985046387,10.6909999847412,
TOE,Tozeur Nefta International Airport,33.9397010803223,8.11056041717529,
LFW,Lomé-Tokoin Airport,6.16560983657837,1.25451004505157,
ANR,Antwerp International Airport (Deurne),51.1893997192,4.46027994156,http://www.antwerp-airport.be/
BRU,Brussels Airport,50.9014015198,4.48443984985,http://www.brusselsairport.be/en/
CRL,Brussels South Charleroi Airport,50.459202,4.45382,http://www.charleroi-airport.com/doc.php?nd=o29&tid=29&lg=2&docid=1&site=1
LGG,Liège Airport,50.6374015808106,5.44322013854981,http://www.liegeairport.be/
OST,Ostend-Bruges International Airport,51.1988983154,2.8622200489,http://www.ost.aero/
AOC,Altenburg-Nobitz Airport,50.9819450378418,12.5063886642456,http://www.leipzig-altenburg-airport.de/
HDF,Heringsdorf Airport,53.8787002563,14.152299881,
SXF,Berlin-Schönefeld Airport,52.380001,13.5225,http://www.berlin-airport.de/en/travellers-sxf/index.php
DRS,Dresden Airport,51.1328010559082,13.7672004699707,http://www.dresden-airport.de/en/index.html
ERF,Erfurt Airport,50.9798011779785,10.9581003189087,http://www.airport-erfurt.de/
FRA,Frankfurt am Main Airport,50.033333,8.570556,http://www.frankfurt-airport.de/
FMO,Münster Osnabrück Airport,52.134601593,7.68483018875,
